iban,date,currency,category,amount
DE89370400440532013000,2026-04-02,EUR,SALARY,5200.00
DE89370400440532013000,2026-04-03,EUR,RENT,-1200.00
DE89370400440532013000,2026-04-04,EUR,GROCERIES,-78.50
DE89370400440532013000,2026-04-05,EUR,UTILITIES,-145.00
DE89370400440532013000,2026-04-06,EUR,TRANSPORT,-55.00
DE89370400440532013000,2026-04-10,EUR,GROCERIES,-92.30
DE89370400440532013000,2026-04-12,EUR,ENTERTAINMENT,-35.00
DE89370400440532013000,2026-04-15,EUR,HEALTHCARE,-120.00
DE89370400440532013000,2026-04-18,EUR,GROCERIES,-64.20
DE89370400440532013000,2026-04-20,EUR,INSURANCE,-280.00
DE89370400440532013000,2026-04-22,EUR,TRANSPORT,-45.00
DE89370400440532013000,2026-04-25,EUR,GROCERIES,-53.10
PL61109010140000071219812874,2026-04-03,PLN,SALARY,8500.00
PL61109010140000071219812874,2026-04-05,PLN,RENT,-2500.00
PL61109010140000071219812874,2026-04-07,PLN,GROCERIES,-320.00
PL61109010140000071219812874,2026-04-10,PLN,UTILITIES,-450.00
PL61109010140000071219812874,2026-04-14,PLN,ENTERTAINMENT,-150.00
PL61109010140000071219812874,2026-04-19,PLN,GROCERIES,-280.50
PL61109010140000071219812874,2026-04-23,PLN,TRANSPORT,-120.00
PL61109010140000071219812874,2026-04-28,PLN,EDUCATION,-1500.00
XYZ61109010140000071219812874,2029-01-28,XXX,TEST,-1500.002
