iban,date,currency,category,amount
DE89370400440532013000,2026-01-02,EUR,SALARY,5200.00
DE89370400440532013000,2026-01-03,EUR,RENT,-1200.00
DE89370400440532013000,2026-01-04,EUR,GROCERIES,-78.50
DE89370400440532013000,2026-01-05,EUR,UTILITIES,-145.00
DE89370400440532013000,2026-01-06,EUR,TRANSPORT,-55.00
DE89370400440532013000,2026-01-10,EUR,GROCERIES,-92.30
DE89370400440532013000,2026-01-12,EUR,ENTERTAINMENT,-35.00
DE89370400440532013000,2026-01-15,EUR,HEALTHCARE,-120.00
DE89370400440532013000,2026-01-18,EUR,GROCERIES,-64.20
DE89370400440532013000,2026-01-20,EUR,INSURANCE,-280.00
DE89370400440532013000,2026-01-22,EUR,TRANSPORT,-45.00
DE89370400440532013000,2026-01-25,EUR,GROCERIES,-53.10
PL61109010140000071219812874,2026-01-03,PLN,SALARY,8500.00
PL61109010140000071219812874,2026-01-05,PLN,RENT,-2500.00
PL61109010140000071219812874,2026-01-07,PLN,GROCERIES,-320.00
PL61109010140000071219812874,2026-01-10,PLN,UTILITIES,-450.00
PL61109010140000071219812874,2026-01-14,PLN,ENTERTAINMENT,-150.00
PL61109010140000071219812874,2026-01-19,PLN,GROCERIES,-280.50
PL61109010140000071219812874,2026-01-23,PLN,TRANSPORT,-120.00
PL61109010140000071219812874,2026-01-28,PLN,EDUCATION,-1500.00
